clause,share_present_pct,count_present
Anti-Assignment,73.3,374
Cap On Liability,53.9,275
License Grant,50.0,255
Audit Rights,42.0,214
Termination For Convenience,35.9,183
Post-Termination Services,35.7,182
Exclusivity,35.3,180
Insurance,32.7,167
Revenue/Profit Sharing,32.5,166
Minimum Commitment,32.4,165
Non-Transferable License,27.1,138
Ip Ownership Assignment,24.3,124
Change Of Control,23.7,121
Non-Compete,23.3,119
Uncapped Liability,21.8,111
Covenant Not To Sue,19.6,100
Rofr/Rofo/Rofn,16.7,85
Volume Restriction,16.1,82
Competitive Restriction Exception,14.9,76
Warranty Duration,14.7,75
Irrevocable Or Perpetual License,13.7,70
Liquidated Damages,12.0,61
No-Solicit Of Employees,11.6,59
Affiliate License-Licensee,11.6,59
Joint Ip Ownership,9.0,46
Non-Disparagement,7.5,38
No-Solicit Of Customers,6.7,34
Third Party Beneficiary,6.5,33
Most Favored Nation,5.5,28
Affiliate License-Licensor,4.5,23
Unlimited/All-You-Can-Eat-License,3.3,17
Price Restrictions,2.9,15
Source Code Escrow,2.5,13
Governing Law,0.0,0
Expiration Date,0.0,0
Renewal Term,0.0,0
Parties,0.0,0
Agreement Date,0.0,0
Document Name,0.0,0
Effective Date,0.0,0
