Document Name,risk_score
"['CONTENT LICENSE, MARKETING AND SALES AGREEMENT']",44
['NETWORK AFFILIATE AGREEMENT'],43
['STRATEGIC ALLIANCE AGREEMENT'],41
['Franchise Agreement'],39
['PRODUCT MANUFACTURING AGREEMENT'],36
['CO-PROMOTION AGREEMENT'],36
['LICENSE AND DEVELOPMENT AGREEMENT'],36
['COLLABORATION AGREEMENT'],35
['CO-BRANDING CONTENT AGREEMENT'],35
['LICENSE AND RESELLER AGREEMENT'],35
"['Franchise Agreement', 'Addendum to Lease Agreement']",35
"['CO-BRANDING, MARKETING AND DISTRIBUTION AGREEMENT']",34
['CO-BRANDING AGREEMENT'],34
['REAL ESTATE EDUCATION TRAINING PROGRAM DEVELOPMENT AGREEMENT'],34
['CO-BRANDING Agreement'],34
['COMMERCIALIZATION AND LICENSE AGREEMENT'],34
['MASTER FRANCHISE AGREEMENT'],34
['MANUFACTURING AND SUPPLY AGREEMENT'],34
['COLOGUARD® PROMOTION AGREEMENT'],33
['DISTRIBUTOR AGREEMENT'],33
['ENDORSEMENT AGREEMENT'],33
['Joint Venture Agreement'],33
['CO-BRANDING AGREEMENT'],33
['PRODUCT DEVELOPMENT AND CO-BRANDING AGREEMENT'],33
['MARKETING AND RESELLER AGREEMENT'],33
['CO-BRANDING AGREEMENT'],32
['CO-BRANDING AGREEMENT'],32
['Co-Hosting Agreement'],31
['STRATEGIC ALLIANCE AGREEMENT'],31
['CONTENT LICENSE AGREEMENT'],31
['Collaboration Agreement'],31
['DEVELOPMENT AND OPTION AGREEMENT'],31
"['COLLABORATIVE RESEARCH, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT']",31
['SUPPLY AGREEMENT'],31
['STRATEGIC ALLIANCE AGREEMENT'],31
['PROMOTION AGREEMENT'],30
['DISTRIBUTORSHIP AGREEMENT'],30
['SPONSORSHIP AGREEMENT'],30
['STRATEGIC ALLIANCE AGREEMENT'],30
['MEDIA LICENSE AGREEMENT'],29
['CO-DEVELOPMENT AGREEMENT'],29
['WIRELESS CONTENT LICENSE AGREEMENT'],29
['ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT'],29
['ODM SUPPLY AGREEMENT'],28
['DOMAIN NAME AND CONTENT LICENSE AGREEMENT'],28
['FRANCHISE AGREEMENT'],28
"['AMENDED AND RESTATED STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT']",28
