clause,share_overall_pct,share_top15_pct,gap_pct_points
Non-Compete,23.3,100.0,76.7
Minimum Commitment,32.4,93.3,61.0
Revenue/Profit Sharing,32.5,93.3,60.8
Non-Transferable License,27.1,86.7,59.6
Competitive Restriction Exception,14.9,73.3,58.4
Audit Rights,42.0,100.0,58.0
Post-Termination Services,35.7,93.3,57.6
Ip Ownership Assignment,24.3,80.0,55.7
Liquidated Damages,12.0,66.7,54.7
Insurance,32.7,86.7,53.9
Uncapped Liability,21.8,73.3,51.6
Exclusivity,35.3,86.7,51.4
License Grant,50.0,100.0,50.0
Change Of Control,23.7,73.3,49.6
No-Solicit Of Employees,11.6,60.0,48.4
Covenant Not To Sue,19.6,60.0,40.4
Irrevocable Or Perpetual License,13.7,53.3,39.6
Cap On Liability,53.9,93.3,39.4
Third Party Beneficiary,6.5,40.0,33.5
Non-Disparagement,7.5,40.0,32.5
Rofr/Rofo/Rofn,16.7,46.7,30.0
Anti-Assignment,73.3,100.0,26.7
No-Solicit Of Customers,6.7,33.3,26.7
Joint Ip Ownership,9.0,26.7,17.6
Volume Restriction,16.1,33.3,17.3
Affiliate License-Licensor,4.5,20.0,15.5
Affiliate License-Licensee,11.6,26.7,15.1
Termination For Convenience,35.9,46.7,10.8
Source Code Escrow,2.5,13.3,10.8
Most Favored Nation,5.5,13.3,7.8
Document Name,0.0,0.0,0.0
Agreement Date,0.0,0.0,0.0
Governing Law,0.0,0.0,0.0
Renewal Term,0.0,0.0,0.0
Expiration Date,0.0,0.0,0.0
Effective Date,0.0,0.0,0.0
Parties,0.0,0.0,0.0
Price Restrictions,2.9,0.0,-2.9
Unlimited/All-You-Can-Eat-License,3.3,0.0,-3.3
Warranty Duration,14.7,6.7,-8.0
